title,company,link,c_,l_,posted_date,applications,job_modality,f_p_time,job_responsibility,job_skills,job_salary,scraped_on
Data Analyst II - Cars (12 Months Project),Booking.com,https://www.linkedin.com/company/booking.com/life,Booking.com,"Mánchester, Inglaterra, Reino Unido",Publicado de nuevo hace 1 semana,Más de 100 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,"Análisis web, Automatización de procesos, Conocimientos comerciales, Google Tag Manager, Indicadores clave, Líneas de tiempo, Presentaciones, Pruebas A/B, PySpark y Requisitos de información",,2024-03-10
Data Analyst,Tech Talent Partners,https://www.linkedin.com/company/techtalentpartners/life,Tech Talent Partners,"Gran Londres, Inglaterra, Reino Unido",hace 2 días,Más de 100 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Intermedio,"Analítica de datos, Análisis de datos, Ciencia de datos, Comunicación y Resolución de problemas, Ciencias de la computación, Comunicación oral, Datasets, Extraer, transformar y cargar (ETL) y Panel de control",,2024-03-10
Business Intelligence Analyst,Brunswick Group,https://www.linkedin.com/company/brunswick-group/life,Brunswick Group,"Londres, Inglaterra, Reino Unido",hace 1 semana,Más de 100 solicitudes,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Intermedio,Intermedio,"Analítica de datos, Análisis de datos, Capacidad de análisis, Comunicación y Resolución de problemas, Analítica, Análisis estratégico, Atención al detalle, Focussed y Panel de control",,2024-03-10
Corporate Data Analyst (Maternity cover),Oxford City Council,https://www.linkedin.com/company/oxford-city-council/life,Oxford City Council,"Oxford, Inglaterra, Reino Unido",hace 3 semanas,Más de 100 solicitudes,En remotoCoincide con tus preferencias de empleo. La modalidad laboral es En remoto.,En remotoCoincide con tus preferencias de empleo. La modalidad laboral es En remoto.,Algo de responsabilidad,"Analítica de datos, Análisis de datos, Bases de datos, Capacidad de análisis, Ciencia de datos, Comunicación y Visualización de datos, Atención al detalle, Presentaciones y Social Issues",37.923 £/año - 39.102 £/año,2024-03-10
People Data Analyst,Travelodge Hotels Limited,https://www.linkedin.com/company/travelodge-hotels-limited/life,Travelodge Hotels Limited,"Thame, Inglaterra, Reino Unido",hace 1 semana,Más de 100 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Algo de responsabilidad,"Analítica de datos, Análisis de datos, Bases de datos, Capacidad de análisis, Resolución de problemas y Visualización de datos, Atención al detalle, Estadística, Extraer, transformar y cargar (ETL) y Modelado de datos",19.200 £/yr,2024-03-10
Insights Analyst,EMJ,https://www.linkedin.com/company/the-european-medical-journal/life,EMJ,"Gran Londres, Inglaterra, Reino Unido",hace 1 semana,Más de 100 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Algo de responsabilidad,"Análisis de datos y Visualización de datos, Análisis de marketing digital, Conocimiento del cliente, Conocimientos comerciales, Data-Driven Insights, Elaboración de informes de datos, Información estratégica, Marketing Data Analysis y Segmentación de audiencias",,2024-03-10
Data Selections Analyst,Boston Hale,https://www.linkedin.com/company/boston-hale/life,Boston Hale,"Gran Londres, Inglaterra, Reino Unido",hace 2 semanas,Más de 100 solicitudes,En remotoCoincide con tus preferencias de empleo. La modalidad laboral es En remoto.,En remotoCoincide con tus preferencias de empleo. La modalidad laboral es En remoto.,Intermedio,"SQL, Reglamento General de Protección de Datos (GDPR)",35.000 £/año - 39.000 £/año,2024-03-10
Data Analyst,MRI Software,https://www.linkedin.com/company/mri-software-llc/life,MRI Software,"Newcastle, Inglaterra, Reino Unido",Publicado de nuevo hace 1 semana,Más de 100 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Sin experiencia,"Análisis de datos, Bases de datos, Capacidad de análisis, Ciencia de datos, Comunicación y Visualización de datos, Analítica, Extraer, transformar y cargar (ETL), Manipulación de datos y Migración de datos",,2024-03-10
Data Analyst - Software Engineer - London - Hedge Fund,Mondrian Alpha,https://www.linkedin.com/company/mondrian-alpha/life,Mondrian Alpha,"Gran Londres, Inglaterra, Reino Unido",hace 2 semanas,Más de 100 solicitudes,PresencialCoincide con tus preferencias de empleo. La modalidad laboral es Presencial.,PresencialCoincide con tus preferencias de empleo. La modalidad laboral es Presencial.,Intermedio,"Capacidad de análisis, Adquisición de conocimientos, Análisis cuantitativo, Attitude Change, C++, Datasets, Elaboración de informes, Gestión ágil de proyectos, Statistical Packages y VBA para Excel",125.000 £/año - 150.000 £/año,2024-03-10
"Analyst, Customer Insights - EMEA",Ralph Lauren,https://www.linkedin.com/company/ralph-lauren/life,Ralph Lauren,"Londres, Inglaterra, Reino Unido",hace 2 días,Más de 100 solicitudes,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Algo de responsabilidad,Algo de responsabilidad,"Comunicación y SQL, Analítica, Análisis complejo, Análisis de clientes, Atención al detalle, Conocimiento del cliente, Conocimientos comerciales, Investigación cuantitativa y Presentaciones",,2024-03-10
Data Analyst,SEGA HARDlight,https://www.linkedin.com/company/sega-hardlight/life,SEGA HARDlight,"Royal Leamington Spa, Inglaterra, Reino Unido",hace 1 día,53 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Intermedio,"Analítica de datos, Análisis de datos, Capacidad de análisis, SQL, Tableau y Visualización de datos, Estadística, Free to Play, Juegos para móviles y Planificación de pruebas",,2024-03-10
RDM Analyst / Reference Data - (Sponsorship available) - 2 days/month on-site,Hawksworth,https://www.linkedin.com/company/hawksworth-consulting-pty-ltd/life,Hawksworth,"Londres y alrededores, Reino Unido",hace 2 semanas,Más de 100 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Intermedio,"Analítica de datos, Análisis de datos y Capacidad de análisis, Calidad de producto, Datos de referencia, Finanzas, Industry Training, Oracle Financials, Transformación de datos y Workplace Organization",40.000 £/año - 45.000 £/año,2024-03-10
Data Analyst,UST,https://www.linkedin.com/company/ustglobal/life,UST,Reino Unido,hace 2 días,Más de 100 solicitudes,En remotoCoincide con tus preferencias de empleo. La modalidad laboral es En remoto.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Intermedio,"Análisis de datos, Alteryx, Calidad de datos, Data Governance Center de Collibra, Derivados, Directiva sobre mercados de instrumentos financieros de la UE, Elaboración de informes financieros, Gobierno de datos, Informes normativos y Renta variable",,2024-03-10
Data Analyst,Beauty Pie,https://www.linkedin.com/company/beauty-pie-ltd/life,Beauty Pie,"Londres, Inglaterra, Reino Unido",Publicado de nuevo hace 1 día,Más de 100 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Sin experiencia,"Analítica de datos, Capacidad de análisis, Ciencia de datos, Resolución de problemas, Visualización y Visualización de datos, Análisis ad hoc, Indicadores clave, Panel de control y Pensamiento crítico",,2024-03-10
Data Analyst,Intellect Group,https://www.linkedin.com/company/intellectgroup/life,Intellect Group,"Gran Londres, Inglaterra, Reino Unido",hace 4 días,Más de 100 solicitudes,PresencialCoincide con tus preferencias de empleo. La modalidad laboral es Presencial.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Sin experiencia,"Análisis de datos, Bases de datos y Python",,2024-03-10
Product Data Analyst (Automation),Motorway,https://www.linkedin.com/company/motorway-online-ltd./life,Motorway,"Londres, Inglaterra, Reino Unido",hace 1 semana,Más de 100 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Sin experiencia,"Analítica de datos, Capacidad de análisis, Comunicación, SQL, Visualización y Visualización de datos, Analítica, Extraer, transformar y cargar (ETL), Google BigQuery y Matemáticas",,2024-03-10
Data Analyst,Oscar,https://www.linkedin.com/company/oscar/life,Oscar,"Mánchester, Inglaterra, Reino Unido",hace 3 semanas,Más de 100 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Intermedio,"Python y SQL, Estadística y Matemáticas",45.000 £/año - 50.000 £/año,2024-03-10
Insights Analyst,Harrods,https://www.linkedin.com/company/harrods/life,Harrods,"Hammersmith, Inglaterra, Reino Unido",hace 2 días,Más de 100 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Intermedio,"Analítica de datos, Capacidad de análisis, Comunicación y Visualización de datos, Aptitudes para hacer presentaciones, Atención al detalle, Gestión de partes interesadas, Indicadores clave de desempeño, Planes de campaña y Proyecto de trabajo",,2024-03-10
"Statistical Analyst (London, Entry Level)",Medpace,https://www.linkedin.com/company/medpace/life,Medpace,"Londres, Inglaterra, Reino Unido",Publicado de nuevo hace 1 semana,Más de 100 solicitudes,PresencialCoincide con tus preferencias de empleo. La modalidad laboral es Presencial.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Intermedio,"Análisis de datos estadísticos, Capacidad de análisis y Comunicación, Bioestadística, Datasets, Modelos estadísticos, Programación SAS, Regresión logística, SAS y SAS Base",,2024-03-10
People Data Analyst,M&C Saatchi Group,https://www.linkedin.com/company/m-c-saatchi-group/life,M&C Saatchi Group,"Londres, Inglaterra, Reino Unido",hace 2 días,98 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Sin experiencia,"Analítica de datos, Bases de datos, Ciencia de datos, Comunicación y Visualización de datos, Analítica, Análisis predictivo, Conocimientos comerciales, Presentaciones y Proceso presupuestario",,2024-03-10
Data Analyst,WeTech,https://www.linkedin.com/company/wetech/life,WeTech,"Warrington, Inglaterra, Reino Unido",hace 1 semana,Más de 100 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Intermedio,"Microsoft Power BI, MySQL y Tableau",45.000 £/yr,2024-03-10
Marketing Data Analyst,Darktrace,https://www.linkedin.com/company/darktrace/life,Darktrace,"Londres, Inglaterra, Reino Unido",hace 4 días,Más de 100 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Intermedio,"Analítica de datos, Análisis de marketing, Calidad de datos, Campañas, Datasets, Gobierno de datos, Marketing automatizado, Marketing digital, Microsoft Surface y Web Campaigns",,2024-03-10
Data Analyst,Intellect Group,https://www.linkedin.com/company/intellectgroup/life,Intellect Group,"Carlisle, Inglaterra, Reino Unido",hace 2 semanas,Más de 100 solicitudes,PresencialCoincide con tus preferencias de empleo. La modalidad laboral es Presencial.,PresencialCoincide con tus preferencias de empleo. La modalidad laboral es Presencial.,Intermedio,Python y SQL,30.000 £/año - 40.000 £/año,2024-03-10
Data Analyst,Intellect Group,https://www.linkedin.com/company/intellectgroup/life,Intellect Group,"Mánchester, Inglaterra, Reino Unido",hace 3 semanas,Más de 100 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Intermedio,"Analítica de datos, Análisis de datos, Ciencia de datos, Resolución de problemas, Visualización y Visualización de datos, Analítica, Ciencias de la computación, Conceptos financieros y Panel de control",30.000 £/año - 40.000 £/año,2024-03-10
Data Analyst,Nuffield Health,https://www.linkedin.com/company/nuffield-health/life,Nuffield Health,"Epsom, Inglaterra, Reino Unido",hace 2 semanas,Más de 100 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Sin experiencia,"Analítica de datos, Análisis de datos, Comunicación, Resolución de problemas, Visualización y Visualización de datos, Atención al detalle, Métricas de rendimiento, Panel de control y Presentaciones",,2024-03-10
Data Analyst Apprentice,Severn Trent,https://www.linkedin.com/company/severn-trent-water/life,Severn Trent,"Coventry, Inglaterra, Reino Unido",Publicado de nuevo hace 2 semanas,Más de 100 solicitudes,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Prácticas,Prácticas,,,2024-03-10
BI Analyst,Rotork,https://www.linkedin.com/company/rotork/life,Rotork,"Bath, Inglaterra, Reino Unido",hace 4 días,Más de 100 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Intermedio,"Analítica de datos, Análisis de datos, Bases de datos, Capacidad de análisis y Visualización de datos, Análisis de mercados, Conocimientos comerciales, Herramientas de bases de datos, Panel de control y Razonamiento",,2024-03-10
Digital Data Analyst (Google Analytics),Canon EMEA,https://www.linkedin.com/company/canon-emea/life,Canon EMEA,"Uxbridge, Inglaterra, Reino Unido",hace 1 semana,Más de 100 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Intermedio,"Analítica de datos, Ciencia de datos, Comunicación, Visualización y Visualización de datos, Analítica, Establecer prioridades del trabajo, Google Tag Manager, Integridad de la información y Taxonomía",,2024-03-10
Data Analyst Apprenticeship - Level 4,Met Office,https://www.linkedin.com/company/met-office/life,Met Office,"Devon, Inglaterra, Reino Unido",hace 3 semanas,Más de 100 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,TemporalCoincide con tus preferencias de empleo. El tipo de empleo es Temporal.,Prácticas,,,2024-03-10
Data Analyst,Capita,https://www.linkedin.com/company/capita/life,Capita,Reino Unido,hace 2 semanas,Más de 100 solicitudes,En remotoCoincide con tus preferencias de empleo. La modalidad laboral es En remoto.,En remotoCoincide con tus preferencias de empleo. La modalidad laboral es En remoto.,Algo de responsabilidad,"Analítica de datos, Análisis de datos, Bases de datos, Capacidad de análisis, Ciencia de datos, Resolución de problemas y Visualización de datos, Estadística, Modelado de datos y Panel de control",40.000 £/año - 45.000 £/año,2024-03-10
BI Analyst,Avencia Consulting,https://www.linkedin.com/company/avenciaconsulting/life,Avencia Consulting,"Manchester y alrededores, Reino Unido",hace 1 día,74 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Intermedio,"Analítica de datos, Bases de datos, Capacidad de análisis y Resolución de problemas, Analítica, Extracción de datos, Macro, Modelado de datos, Métricas de negocio y Panel de control",,2024-03-10
Data Analyst,The React Hub,https://www.linkedin.com/company/the-react-hub/life,The React Hub,"Gran Londres, Inglaterra, Reino Unido",hace 4 días,Más de 100 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Intermedio,Microsoft Azure y SQL Server Management Studio,60.000 £/año - 65.000 £/año,2024-03-10
"Business Intelligence Analyst, SWA S&OP",Amazon,https://www.linkedin.com/company/amazon/life,Amazon,"Londres, Inglaterra, Reino Unido",Publicado de nuevo hace 2 días,59 solicitudes,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,"Analítica de datos, Bases de datos y Resolución de problemas, Analítica, Analítica empresarial, Análisis cuantitativo, Evaluación de negocios, Presentaciones, Presentación de datos y Resolución creativa de problemas",,2024-03-10
"Business Intelligence Analyst, Amazon Ads Europe",Amazon,https://www.linkedin.com/company/amazon/life,Amazon,"Londres, Inglaterra, Reino Unido",Publicado de nuevo hace 2 semanas,Más de 100 solicitudes,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,"Analítica de datos, Ciencia de datos, Tableau y Visualización de datos, Amazon QuickSight, Analítica, Extraer, transformar y cargar (ETL), Inteligencia empresarial, Minería de datos y Modelado de datos",,2024-03-10
Data Analyst,Amber Resourcing,https://www.linkedin.com/company/amber-resourcing/life,Amber Resourcing,"Londres y alrededores, Reino Unido",Publicado de nuevo hace 1 día,Más de 100 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Intermedio,"Análisis de datos, Microsoft Power BI, Python, SQL y Tableau, Google Cloud , Hojas de cálculo de Google y Microsoft Excel",45.000 £/año - 60.000 £/año,2024-03-10
Data Business Analyst,The People Network,https://www.linkedin.com/company/thepeoplenetwork-png/life,The People Network,"Gran Londres, Inglaterra, Reino Unido",hace 4 días,Más de 100 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Contrato por obraCoincide con tus preferencias de empleo. El tipo de empleo es Contrato por obra.,Intermedio,"Análisis de datos, Amazon Web Services (AWS), Análisis de negocio, Microsoft Azure y Modelado de datos",,2024-03-10
ESG Data Analyst (12 month FTC),Osborne Clarke,https://www.linkedin.com/company/osborne-clarke/life,Osborne Clarke,"Reading, Inglaterra, Reino Unido",hace 19 horas,8 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Contrato por obraCoincide con tus preferencias de empleo. El tipo de empleo es Contrato por obra.,Sin experiencia,"Análisis de datos, Bases de datos, Capacidad de análisis y Ciencia de datos, Identificación de tendencias, Informes de sostenibilidad, Informes y análisis, Proceso de ofertas, Recogida de datos y Registros de auditoría",,2024-03-10
Data Analyst,Oho Group Ltd,https://www.linkedin.com/company/oho-group-ltd/life,Oho Group Ltd,"Gran Londres, Inglaterra, Reino Unido",hace 2 semanas,Más de 100 solicitudes,PresencialCoincide con tus preferencias de empleo. La modalidad laboral es Presencial.,PresencialCoincide con tus preferencias de empleo. La modalidad laboral es Presencial.,Sin experiencia,"Analítica de datos, Análisis de datos, Bases de datos, Capacidad de análisis, Comunicación, Resolución de problemas y Visualización de datos, Estadística, Modelado de datos y R (Lenguaje de programación)",35.000 £/año - 45.000 £/año,2024-03-10
Commercial Data Analyst | Luxury Cosmetics Business | London/Remote,Harmonic Finance™ | Certified B Corp,https://www.linkedin.com/company/harmonic-group-limited/life,Harmonic Finance™ | Certified B Corp,"Gran Londres, Inglaterra, Reino Unido",hace 1 semana,Más de 100 solicitudes,PresencialCoincide con tus preferencias de empleo. La modalidad laboral es Presencial.,PresencialCoincide con tus preferencias de empleo. La modalidad laboral es Presencial.,Intermedio,"Análisis de datos y Microsoft Power BI, Almacenamiento de datos, Implantación de SAP, Microsoft Excel, Minería de datos, Modelado de datos y SAP ERP",55.000 £/año - 65.000 £/año,2024-03-10
Data Analyst Apprentice,Severn Trent,https://www.linkedin.com/company/severn-trent-water/life,Severn Trent,"Coventry, Inglaterra, Reino Unido",Publicado de nuevo hace 1 semana,Más de 100 solicitudes,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Prácticas,Prácticas,,,2024-03-10
Data Analyst - Adobe Analytics - £400 per day,Oliver Bernard,https://www.linkedin.com/company/oliverbernard/life,Oliver Bernard,"Londres y alrededores, Reino Unido",hace 4 días,Más de 100 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Contrato por obraCoincide con tus preferencias de empleo. El tipo de empleo es Contrato por obra.,Intermedio,"Analítica de datos y Análisis de datos, Adobe Experience Cloud y Optimizely",,2024-03-10
Data Analytics Consultant - Corporate,DATAHEAD,https://www.linkedin.com/company/thedatahead/life,DATAHEAD,"Gran Londres, Inglaterra, Reino Unido",hace 3 semanas,Más de 100 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Intermedio,"Análisis de datos, Analítica empresarial, Consultoría de gestión, Estrategia y Operaciones comerciales",,2024-03-10
Data Analyst - GIS Graduate Programme,RPS,https://www.linkedin.com/company/rps/life,RPS,"Leeds, Inglaterra, Reino Unido",hace 1 día,35 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Sin experiencia,"Analítica de datos, Análisis de datos, SQL y Visualización, Datasets, FME, Focussed, InfoWorks, Manipulación de datos y Visual Basic",,2024-03-10
Data Test Analyst,RSPCA,https://www.linkedin.com/company/rspca/life,RSPCA,"Londres, Inglaterra, Reino Unido",hace 3 días,Más de 100 solicitudes,En remotoCoincide con tus preferencias de empleo. La modalidad laboral es En remoto.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Sin experiencia,"Asignación de datos, Casos de prueba, Ejecución de pruebas, Estrategia de pruebas, Identifying Issues, Pruebas de integración, Pruebas de software, Pruebas del sistema, Requisitos de pruebas y Test Analysis",,2024-03-10
Data Analyst - GIS Graduate Programme,RPS,https://www.linkedin.com/company/rps/life,RPS,"Sheffield, Inglaterra, Reino Unido",hace 1 día,20 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Sin experiencia,"Analítica de datos, Análisis de datos, SQL y Visualización, Datasets, FME, Focussed, InfoWorks, Manipulación de datos y Visual Basic",,2024-03-10
Research & Insight Analyst,Orbit Group,https://www.linkedin.com/company/orbit-group/life,Orbit Group,"Coventry, Inglaterra, Reino Unido",hace 1 semana,Más de 100 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Algo de responsabilidad,"Análisis de datos estadísticos, Capacidad de análisis, Investigación y Microsoft Power BI, Análisis de tendencias, Conocimientos comerciales, Generación de percepción, Investigación cualitativa, Investigación cuantitativa y Microsoft PowerPoint",26.500 £/año - 31.800 £/año,2024-03-10
Data Analyst - Modeller,BJSS,https://www.linkedin.com/company/bjss/life,BJSS,"Newcastle upon Tyne, Inglaterra, Reino Unido",Publicado de nuevo hace 20 horas,Más de 100 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Intermedio,"SQL y Tableau, Amazon Web Services (AWS), Extraer, transformar y cargar (ETL), Herramientas ETL y QlikView",,2024-03-10
BI Analyst / Developer-Permanent-Remote,RemoteWorker UK,https://www.linkedin.com/company/remoteworkeruk/life,RemoteWorker UK,Reino Unido,hace 2 semanas,Más de 100 solicitudes,En remotoCoincide con tus preferencias de empleo. La modalidad laboral es En remoto.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Intermedio,"Analítica de datos, Análisis de datos, Visualización y Visualización de datos, Especificaciones técnicas, Obtención de requisitos, Panel de control, Qlik Sense, QlikView y Tendencias emergentes",,2024-03-10
Data Analyst,Unbiased,https://www.linkedin.com/company/unbiased-co-uk/life,Unbiased,"Gran Londres, Inglaterra, Reino Unido",hace 2 semanas,Más de 100 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,"Analítica de datos y Análisis de datos estadísticos, Arquitectura de datos, Desarrollo empresarial, Elaboración de informes de datos, Extraer, transformar y cargar (ETL), Gestión de bajas, Google Analytics, Herramientas de inteligencia de negocios y Metodologías ágiles",,2024-03-10
Data Analyst RBKC614893,Royal Borough of Kensington and Chelsea,https://www.linkedin.com/company/royal-borough-of-kensington-and-chelsea/life,Royal Borough of Kensington and Chelsea,"Londres, Inglaterra, Reino Unido",hace 2 semanas,Más de 100 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Sin experiencia,,,2024-03-10
Data Analyst,The Green House Growers,https://www.linkedin.com/company/thegreenhousegrowers/life,The Green House Growers,"Norwich, Inglaterra, Reino Unido",hace 1 semana,Más de 100 solicitudes,PresencialCoincide con tus preferencias de empleo. La modalidad laboral es Presencial.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,,,2024-03-10
Data Analyst,Urban Jungle Insurance,https://www.linkedin.com/company/urban-jungle-insurance/life,Urban Jungle Insurance,"Gran Londres, Inglaterra, Reino Unido",hace 4 semanas,Más de 100 solicitudes,PresencialCoincide con tus preferencias de empleo. La modalidad laboral es Presencial.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Algo de responsabilidad,,,2024-03-10
Data Analyst,Maxwell Bond®,https://www.linkedin.com/company/maxwell-bond/life,Maxwell Bond®,"Gran Londres, Inglaterra, Reino Unido",hace 3 semanas,Más de 100 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Intermedio,,,2024-03-10
Customer Insights Analyst,Salt,https://www.linkedin.com/company/salt/life,Salt,"Gran Londres, Inglaterra, Reino Unido",hace 4 días,Más de 100 solicitudes,PresencialCoincide con tus preferencias de empleo. La modalidad laboral es Presencial.,PresencialCoincide con tus preferencias de empleo. La modalidad laboral es Presencial.,Algo de responsabilidad,,,2024-03-10
Data Analyst Manager,Ankorstore,https://www.linkedin.com/company/ankorstore/life,Ankorstore,Reino Unido,hace 1 semana,Más de 100 solicitudes,En remotoCoincide con tus preferencias de empleo. La modalidad laboral es En remoto.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Sin experiencia,,,2024-03-10
Power BI Analyst / Data Visualisation Specialist,ICF,https://www.linkedin.com/company/icf-international/life,ICF,"Londres, Inglaterra, Reino Unido",hace 1 semana,Más de 100 solicitudes,En remotoCoincide con tus preferencias de empleo. La modalidad laboral es En remoto.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Intermedio,,,2024-03-10
HR Data Analyst,E.ON UK,https://www.linkedin.com/company/e-on-uk/life,E.ON UK,"Ciudad de Nottingham, Inglaterra, Reino Unido",hace 1 semana,Más de 100 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Algo de responsabilidad,,,2024-03-10
"Senior Data Analyst - Hybird/Bristol - Up to £65,000",Adecco,https://www.linkedin.com/company/adecco/life,Adecco,"Bristol, Inglaterra, Reino Unido",hace 1 día,35 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Intermedio,,,2024-03-10
